,nome_municipio,area_desmatada,codigo_municipio,uf,ano
3628,Novo Santo Antônio,2.61,5106315,Mato Grosso,2012
3629,Novo Horizonte do Oeste,0.29,1100502,Rondônia,2012
3630,São Raimundo das Mangabeiras,0.0,2111607,Maranhão,2012
3631,Cândido Mendes,0.4,2102606,Maranhão,2012
3632,Amarante do Maranhão,6.79,2100600,Maranhão,2012
3633,Plácido de Castro,3.87,1200385,Acre,2012
3634,Serrano do Maranhão,0.0,2111789,Maranhão,2012
3635,Irituia,0.21,1503507,Pará,2012
3636,Pauini,9.51,1303502,Amazonas,2012
3637,Oeiras do Pará,3.25,1505205,Pará,2012
3638,Acrelândia,4.16,1200013,Acre,2012
3639,Almeirim,19.49,1500503,Pará,2012
3640,Ribeirão Cascalheira,2.53,5107180,Mato Grosso,2012
3641,Esperantina,0.27,1707405,Tocantins,2012
3642,Feijó,30.84,1200302,Acre,2012
3643,Couto Magalhães,0.54,1706001,Tocantins,2012
3644,Igarapé-Miri,1.03,1503309,Pará,2012
3645,Rurópolis,40.62,1506195,Pará,2012
3646,Porto Franco,2.45,2109007,Maranhão,2012
3647,Sampaio,0.26,1718808,Tocantins,2012
3648,Belém,0.23,1501402,Pará,2012
3649,Vitória do Mearim,0.38,2112902,Maranhão,2012
3650,Tupirama,0.0,1721257,Tocantins,2012
3651,São Domingos do Capim,0.88,1507201,Pará,2012
3652,Trizidela do Vale,0.0,2112233,Maranhão,2012
3653,Porto Alegre do Tocantins,0.0,1718006,Tocantins,2012
3654,Goiatins,0.0,1709005,Tocantins,2012
3655,Chapada da Natividade,0.0,1705102,Tocantins,2012
3656,São Sebastião do Tocantins,0.0,1720309,Tocantins,2012
3657,Amapá do Maranhão,0.48,2100550,Maranhão,2012
3658,Taguatinga,0.0,1720903,Tocantins,2012
3659,São Vicente Ferrer,0.0,2111706,Maranhão,2012
3660,Tocantínia,0.0,1721109,Tocantins,2012
3661,Pinheiro,0.0,2108603,Maranhão,2012
3662,Cristalândia,0.0,1706100,Tocantins,2012
3663,Aguiarnópolis,0.09,1700301,Tocantins,2012
3664,Piraquê,0.0,1717206,Tocantins,2012
3665,Bonito,0.0,1501600,Pará,2012
3666,Fortaleza dos Nogueiras,0.0,2104107,Maranhão,2012
3667,Terra Alta,0.42,1507961,Pará,2012
3668,Lago da Pedra,0.0,2105708,Maranhão,2012
3669,Balsas,0.0,2101400,Maranhão,2012
3670,Ipixuna do Pará,8.98,1503457,Pará,2012
3671,Santo Antônio dos Lopes,0.59,2110302,Maranhão,2012
3672,Serra do Navio,0.0,1600055,Amapá,2012
3673,Pau D'Arco,0.22,1716307,Tocantins,2012
3674,Concórdia do Pará,0.59,1502756,Pará,2012
3675,Lima Campos,0.57,2106003,Maranhão,2012
3676,São João do Paraíso,1.18,2111052,Maranhão,2012
3677,Boa Vista do Gurupi,0.27,2101970,Maranhão,2012
3678,Ponte Alta do Tocantins,0.0,1717909,Tocantins,2012
3679,Nazaré,0.17,1714302,Tocantins,2012
3680,Aveiro,15.9,1501006,Pará,2012
3681,Nova União,0.68,1101435,Rondônia,2012
3682,Boca do Acre,53.51,1300706,Amazonas,2012
3683,Luciara,0.4,5105309,Mato Grosso,2012
3684,Xambioá,1.38,1722107,Tocantins,2012
3685,Barcelos,1.27,1300409,Amazonas,2012
3686,Guaraí,3.08,1709302,Tocantins,2012
3687,Codajás,0.55,1301308,Amazonas,2012
3688,Querência,38.72,5107065,Mato Grosso,2012
3689,São Luiz,4.3,1400605,Roraima,2012
3690,Careiro,1.29,1301100,Amazonas,2012
3691,Pium,0.0,1717503,Tocantins,2012
3692,Brasnorte,9.55,5101902,Mato Grosso,2012
3693,Paranaíta,6.12,5106299,Mato Grosso,2012
3694,Oriximiná,4.53,1505304,Pará,2012
3695,Amajari,5.28,1400027,Roraima,2012
3696,Baião,7.94,1501204,Pará,2012
3697,Pacaraima,0.0,1400456,Roraima,2012
3698,Tabocão,0.0,1708254,Tocantins,2012
3699,São Salvador do Tocantins,0.0,1720259,Tocantins,2012
3700,Ipueiras,0.0,1709807,Tocantins,2012
3701,Juruá,0.42,1302207,Amazonas,2012
3702,Santana,0.19,1600600,Amapá,2012
3703,Jutaí,0.67,1302306,Amazonas,2012
3704,Crixás do Tocantins,0.0,1706258,Tocantins,2012
3705,Angico,0.0,1701051,Tocantins,2012
3706,Palestina do Pará,1.14,1505494,Pará,2012
3707,Alto Boa Vista,4.83,5100359,Mato Grosso,2012
3708,Turiaçu,0.0,2112407,Maranhão,2012
3709,Wanderlândia,0.0,1722081,Tocantins,2012
3710,Viana,0.26,2112803,Maranhão,2012
3711,Pedro Afonso,2.69,1716505,Tocantins,2012
3712,Riachinho,0.0,1718550,Tocantins,2012
3713,São Valério,0.0,1720499,Tocantins,2012
3714,Cachoeira do Piriá,3.26,1501956,Pará,2012
3715,Castanhal,0.55,1502400,Pará,2012
3716,Rondon do Pará,13.87,1506187,Pará,2012
3717,Barra do Ouro,0.0,1703073,Tocantins,2012
3718,Tomé-Açu,1.01,1508001,Pará,2012
3719,Poção de Pedras,0.0,2108900,Maranhão,2012
3720,São Bento,0.0,2110500,Maranhão,2012
3721,Godofredo Viana,0.4,2104305,Maranhão,2012
3722,Presidente Juscelino,0.63,2109205,Maranhão,2012
3723,São Pedro dos Crentes,0.0,2111573,Maranhão,2012
3724,Buriti do Tocantins,0.0,1703800,Tocantins,2012
3725,Centro Novo do Maranhão,7.03,2103174,Maranhão,2012
3726,Careiro da Várzea,4.8,1301159,Amazonas,2012
3727,Buriti Bravo,0.83,2102309,Maranhão,2012
3728,Pedro do Rosário,0.0,2108256,Maranhão,2012
3729,Palmeirante,0.07,1715705,Tocantins,2012
3730,Palmeiras do Tocantins,0.0,1713809,Tocantins,2012
3731,Carrasco Bonito,0.0,1703891,Tocantins,2012
3732,Conceição do Lago-Açu,0.0,2103554,Maranhão,2012
3733,Vitorino Freire,0.0,2113009,Maranhão,2012
3734,São Domingos do Araguaia,0.87,1507151,Pará,2012
3735,Almas,0.0,1700400,Tocantins,2012
3736,Lajeado,0.0,1712009,Tocantins,2012
3737,Feira Nova do Maranhão,0.0,2104073,Maranhão,2012
3738,Icatu,0.0,2105104,Maranhão,2012
3739,Cururupu,0.0,2103703,Maranhão,2012
3740,Itacajá,0.0,1710508,Tocantins,2012
3741,Luís Domingues,0.13,2106201,Maranhão,2012
3742,Campos Lindos,0.0,1703842,Tocantins,2012
3743,Aurora do Pará,0.88,1500958,Pará,2012
3744,Peri Mirim,0.0,2108405,Maranhão,2012
3745,Capinzal do Norte,1.21,2102754,Maranhão,2012
3746,Cachoeirinha,0.72,1703826,Tocantins,2012
3747,Bela Vista do Maranhão,0.0,2101772,Maranhão,2012
3748,Carmolândia,0.0,1703883,Tocantins,2012
3749,Santa Rita do Tocantins,0.0,1718899,Tocantins,2012
3750,Ministro Andreazza,0.75,1101203,Rondônia,2012
3751,Ponta de Pedras,0.0,1505700,Pará,2012
3752,Chupinguaia,17.41,1100924,Rondônia,2012
3753,Castanheira,11.43,5102850,Mato Grosso,2012
3754,Manaquiri,0.07,1302553,Amazonas,2012
3755,Marcelândia,12.41,5105580,Mato Grosso,2012
3756,Formoso do Araguaia,7.78,1708205,Tocantins,2012
3757,São Felipe D'Oeste,0.47,1101484,Rondônia,2012
3758,Brejinho de Nazaré,0.0,1703701,Tocantins,2012
3759,Juara,15.82,5105101,Mato Grosso,2012
3760,Guarantã do Norte,4.01,5104104,Mato Grosso,2012
3761,Nova Marilândia,3.06,5108857,Mato Grosso,2012
3762,Bernardo do Mearim,0.66,2101939,Maranhão,2012
3763,Terra Nova do Norte,4.32,5108055,Mato Grosso,2012
3764,Indiavaí,0.0,5104500,Mato Grosso,2012
3765,Soure,0.0,1507904,Pará,2012
3766,Caapiranga,0.45,1300839,Amazonas,2012
3767,Marabá,52.62,1504208,Pará,2012
3768,Nova Brasilândia D'Oeste,2.19,1100148,Rondônia,2012
3769,Campo Novo do Parecis,0.0,5102637,Mato Grosso,2012
3770,Guajará-Mirim,6.86,1100106,Rondônia,2012
3771,Mojuí dos Campos,11.37,1504752,Pará,2012
3772,Benjamin Constant,0.25,1300607,Amazonas,2012
3773,Dois Irmãos do Tocantins,0.16,1707207,Tocantins,2012
3774,Jaru,0.42,1100114,Rondônia,2012
3775,Jordão,7.03,1200328,Acre,2012
3776,Mucajaí,17.56,1400308,Roraima,2012
3777,Normandia,0.0,1400407,Roraima,2012
3778,Juína,14.06,5105150,Mato Grosso,2012
3779,Corumbiara,2.38,1100072,Rondônia,2012
3780,Urupá,0.84,1101708,Rondônia,2012
3781,Trairão,42.25,1508050,Pará,2012
3782,Atalaia do Norte,1.54,1300201,Amazonas,2012
3783,Nhamundá,2.65,1303007,Amazonas,2012
3784,Barra do Garças,0.0,5101803,Mato Grosso,2012
3785,São Domingos do Maranhão,19.45,2110708,Maranhão,2012
3786,Bagre,0.93,1501105,Pará,2012
3787,São Bento do Tocantins,0.15,1720101,Tocantins,2012
3788,Juruti,1.43,1503903,Pará,2012
3789,Colniza,80.31,5103254,Mato Grosso,2012
3790,Quatipuru,0.1,1506112,Pará,2012
3791,Salinópolis,0.29,1506203,Pará,2012
3792,Babaçulândia,0.0,1703008,Tocantins,2012
3793,Zé Doca,1.54,2114007,Maranhão,2012
3794,Sapucaia,0.0,1507755,Pará,2012
3795,Colares,0.0,1502608,Pará,2012
3796,Araguatins,1.78,1702208,Tocantins,2012
3797,Pio XII,0.0,2108702,Maranhão,2012
3798,Novo Jardim,0.0,1715259,Tocantins,2012
3799,Marechal Thaumaturgo,3.67,1200351,Acre,2012
3800,Teixeirópolis,0.15,1101559,Rondônia,2012
3801,São Francisco do Pará,0.24,1507409,Pará,2012
3802,Paulo Ramos,0.17,2108108,Maranhão,2012
3803,Nova Colinas,0.0,2107258,Maranhão,2012
3804,Santa Maria do Tocantins,0.0,1718881,Tocantins,2012
3805,Arraias,0.0,1702406,Tocantins,2012
3806,Salvaterra,0.44,1506302,Pará,2012
3807,Manicoré,60.46,1302702,Amazonas,2012
3808,Santa Maria do Pará,0.21,1506609,Pará,2012
3809,Cajapió,0.0,2102408,Maranhão,2012
3810,Bom Jardim,21.29,2102002,Maranhão,2012
3811,Peixe,0.0,1716604,Tocantins,2012
3812,Governador Archer,1.52,2104503,Maranhão,2012
3813,Curralinho,0.45,1502806,Pará,2012
3814,Talismã,0.0,1720978,Tocantins,2012
3815,Timbiras,0.19,2112100,Maranhão,2012
3816,Igarapé-Açu,0.14,1503200,Pará,2012
3817,Lago Verde,0.0,2105906,Maranhão,2012
3818,Itamarati,1.45,1301951,Amazonas,2012
3819,Lábrea,83.61,1302405,Amazonas,2012
3820,Luzinópolis,0.06,1712454,Tocantins,2012
3821,Brasilândia do Tocantins,0.28,1703602,Tocantins,2012
3822,Axixá,0.07,2101103,Maranhão,2012
3823,Brejo de Areia,0.22,2102150,Maranhão,2012
3824,Marituba,0.0,1504422,Pará,2012
3825,Recursolândia,0.37,1718501,Tocantins,2012
3826,Praia Norte,1.13,1718303,Tocantins,2012
3827,Sítio Novo,0.0,2111805,Maranhão,2012
3828,Ouro Preto do Oeste,0.57,1100155,Rondônia,2012
3829,São Félix do Tocantins,0.0,1720150,Tocantins,2012
3830,Marapanim,0.0,1504406,Pará,2012
3831,Bacabeira,2.36,2101251,Maranhão,2012
3832,Santarém Novo,0.0,1506906,Pará,2012
3833,Mirador,0.0,2106706,Maranhão,2012
3834,Vila Nova dos Martírios,2.26,2112852,Maranhão,2012
3835,Riachão,0.0,2109502,Maranhão,2012
3836,Ourém,0.0,1505403,Pará,2012
3837,São José dos Basílios,0.34,2111250,Maranhão,2012
3838,Governador Nunes Freire,0.0,2104677,Maranhão,2012
3839,Calçoene,1.11,1600204,Amapá,2012
3840,Alto Araguaia,0.0,5100300,Mato Grosso,2012
3841,Mirinzal,0.0,2106805,Maranhão,2012
3842,Jenipapo dos Vieiras,5.2,2105476,Maranhão,2012
3843,Santa Izabel do Pará,0.07,1506500,Pará,2012
3844,Combinado,0.0,1705557,Tocantins,2012
3845,Envira,6.68,1301506,Amazonas,2012
3846,Graça Aranha,5.38,2104701,Maranhão,2012
3847,Tocantinópolis,0.6,1721208,Tocantins,2012
3848,Amaturá,0.19,1300060,Amazonas,2012
3849,Cacaulândia,0.91,1100601,Rondônia,2012
3850,São Félix de Balsas,0.0,2110807,Maranhão,2012
3851,Colinas,3.08,2103505,Maranhão,2012
3852,Buritirana,1.79,2102358,Maranhão,2012
3853,Ananindeua,0.08,1500800,Pará,2012
3854,Presidente Figueiredo,5.36,1303536,Amazonas,2012
3855,Abaetetuba,2.24,1500107,Pará,2012
3856,Pindaré-Mirim,0.0,2108504,Maranhão,2012
3857,Centenário,0.0,1704105,Tocantins,2012
3858,Santa Terezinha do Tocantins,0.12,1720002,Tocantins,2012
3859,Vigia,0.23,1508209,Pará,2012
3860,Campo Novo de Rondônia,13.56,1100700,Rondônia,2012
3861,Santa Cruz do Xingu,0.64,5107743,Mato Grosso,2012
3862,Lajeado Novo,0.33,2105989,Maranhão,2012
3863,Afuá,0.15,1500305,Pará,2012
3864,Ribamar Fiquene,0.52,2109551,Maranhão,2012
3865,Peixoto de Azevedo,51.64,5106422,Mato Grosso,2013
3866,Pau D'Arco,1.5,1505551,Pará,2013
3867,Mâncio Lima,2.6,1200336,Acre,2013
3868,Alto Alegre,15.47,1400050,Roraima,2013
3869,Pedra Preta,0.0,5106372,Mato Grosso,2013
3870,Itaituba,188.23,1503606,Pará,2013
3871,Redenção,1.31,1506138,Pará,2013
3872,Iracema,16.77,1400282,Roraima,2013
3873,Santo Antônio do Leverger,0.08,5107800,Mato Grosso,2013
3874,Porto Esperidião,0.0,5106828,Mato Grosso,2013
3875,Nova Brasilândia,0.0,5106208,Mato Grosso,2013
3876,Caracaraí,13.67,1400209,Roraima,2013
3877,Ponte Branca,0.0,5106703,Mato Grosso,2013
3878,Cuiabá,0.08,5103403,Mato Grosso,2013
3879,Tucumã,1.61,1508084,Pará,2013
3880,Alto Paraguai,0.0,5100508,Mato Grosso,2013
3881,São Pedro da Cipa,0.0,5107404,Mato Grosso,2013
3882,Porto Estrela,0.15,5106851,Mato Grosso,2013
3883,Porto de Moz,16.01,1505908,Pará,2013
3884,Denise,0.0,5103452,Mato Grosso,2013
3885,Cáceres,5.28,5102504,Mato Grosso,2013
3886,Tesouro,0.0,5108105,Mato Grosso,2013
3887,Araguaiana,0.22,5101001,Mato Grosso,2013
3888,Matupá,17.14,5105606,Mato Grosso,2013
3889,Conquista D'Oeste,0.14,5103361,Mato Grosso,2013
3890,Vale de São Domingos,1.35,5108352,Mato Grosso,2013
3891,Juscimeira,0.09,5105200,Mato Grosso,2013
3892,Nova Guarita,1.65,5108808,Mato Grosso,2013
3893,Bonfim,2.66,1400159,Roraima,2013
3894,Tapauá,2.57,1304104,Amazonas,2013
3895,Salto do Céu,0.13,5107750,Mato Grosso,2013
3896,Campo Verde,0.18,5102678,Mato Grosso,2013
3897,Eirunepé,1.42,1301407,Amazonas,2013
3898,Curvelândia,0.11,5103437,Mato Grosso,2013
3899,Acorizal,0.0,5100102,Mato Grosso,2013
3900,Várzea Grande,0.0,5108402,Mato Grosso,2013
3901,Rosário Oeste,0.13,5107701,Mato Grosso,2013
3902,Rio Branco,0.0,5107206,Mato Grosso,2013
3903,Santo Antônio do Leste,0.0,5107792,Mato Grosso,2013
3904,Chapada dos Guimarães,0.0,5103007,Mato Grosso,2013
3905,Novo São Joaquim,0.0,5106281,Mato Grosso,2013
3906,Glória D'Oeste,0.0,5103957,Mato Grosso,2013
3907,São José do Povo,0.0,5107297,Mato Grosso,2013
3908,Mirassol d'Oeste,1.01,5105622,Mato Grosso,2013
3909,Nova Bandeirantes,63.11,5106158,Mato Grosso,2013
3910,Poconé,0.38,5106505,Mato Grosso,2013
3911,Conceição do Araguaia,5.85,1502707,Pará,2013
3912,Barra do Bugres,2.47,5101704,Mato Grosso,2013
3913,Guiratinga,0.0,5104203,Mato Grosso,2013
3914,Dom Aquino,0.0,5103601,Mato Grosso,2013
3915,Lambari D'Oeste,0.0,5105234,Mato Grosso,2013
3916,São José dos Quatro Marcos,0.32,5107107,Mato Grosso,2013
3917,Poxoréu,0.3,5107008,Mato Grosso,2013
3918,Floresta do Araguaia,4.97,1503044,Pará,2013
3919,Barão de Melgaço,0.4,5101605,Mato Grosso,2013
3920,Araputanga,0.66,5101258,Mato Grosso,2013
3921,Nova Olímpia,0.0,5106232,Mato Grosso,2013
3922,Rondonópolis,0.0,5107602,Mato Grosso,2013
3923,Nova Xavantina,0.07,5106257,Mato Grosso,2013
3924,Pontal do Araguaia,0.0,5106653,Mato Grosso,2013
3925,Jangada,0.0,5104906,Mato Grosso,2013
3926,Amapá,0.45,1600105,Amapá,2013
3927,Guajará,3.05,1301654,Amazonas,2013
3928,Vila Bela da Santíssima Trindade,10.0,5105507,Mato Grosso,2013
3929,Araguainha,0.0,5101209,Mato Grosso,2013
3930,Capixaba,5.76,1200179,Acre,2013
3931,Jauru,0.08,5105002,Mato Grosso,2013
3932,Ribeirãozinho,0.0,5107198,Mato Grosso,2013
3933,Reserva do Cabaçal,0.21,5107156,Mato Grosso,2013
3934,Figueirópolis D'Oeste,0.0,5103809,Mato Grosso,2013
3935,Alto Garças,0.0,5100409,Mato Grosso,2013
3936,Nossa Senhora do Livramento,0.0,5106109,Mato Grosso,2013
3937,Jaciara,0.0,5104807,Mato Grosso,2013
3938,Manaus,2.31,1302603,Amazonas,2013
3939,Pontes e Lacerda,2.79,5106752,Mato Grosso,2013
3940,Ipixuna,6.46,1301803,Amazonas,2013
3941,Primavera do Leste,0.0,5107040,Mato Grosso,2013
3942,Maraã,1.16,1302801,Amazonas,2013
3943,Torixoréu,0.0,5108204,Mato Grosso,2013
3944,General Carneiro,0.0,5103908,Mato Grosso,2013
3945,Nova Rosalândia,0.0,1715002,Tocantins,2013
3946,São Gabriel da Cachoeira,1.34,1303809,Amazonas,2013
3947,Ipiranga do Norte,2.75,5104526,Mato Grosso,2013
3948,Araguaína,10.11,1702109,Tocantins,2013
3949,São Geraldo do Araguaia,2.19,1507458,Pará,2013
3950,Augusto Corrêa,0.0,1500909,Pará,2013
3951,Uarini,0.6,1304260,Amazonas,2013
3952,Vilhena,7.99,1100304,Rondônia,2013
3953,Nova Lacerda,13.84,5106182,Mato Grosso,2013
3954,Itaporã do Tocantins,0.42,1711100,Tocantins,2013
3955,Lucas do Rio Verde,3.1,5105259,Mato Grosso,2013
3956,Nova Maringá,44.2,5108907,Mato Grosso,2013
3957,Goianésia do Pará,38.35,1503093,Pará,2013
3958,Bujari,8.37,1200138,Acre,2013
3959,Rio Maria,8.69,1506161,Pará,2013
3960,Divinópolis do Tocantins,0.01,1707108,Tocantins,2013
3961,Jacareacanga,22.43,1503754,Pará,2013
3962,Barrolândia,0.0,1703107,Tocantins,2013
3963,Diamantino,1.9,5103502,Mato Grosso,2013
3964,Santa Fé do Araguaia,0.51,1718865,Tocantins,2013
3965,Santa Carmem,24.97,5107248,Mato Grosso,2013
3966,Bannach,4.59,1501253,Pará,2013
3967,Canabrava do Norte,11.01,5102694,Mato Grosso,2013
3968,Pedra Branca do Amapari,3.09,1600154,Amapá,2013
3969,Oliveira de Fátima,0.0,1715507,Tocantins,2013
3970,Caseara,29.33,1703909,Tocantins,2013
3971,Santa Cruz do Arari,0.0,1506401,Pará,2013
3972,Tapurah,16.14,5108006,Mato Grosso,2013
3973,Parauapebas,4.12,1505536,Pará,2013
3974,Limoeiro do Ajuru,0.0,1504000,Pará,2013
3975,Theobroma,4.94,1101609,Rondônia,2013
3976,São Félix do Xingu,221.32,1507300,Pará,2013
3977,Comodoro,30.7,5103304,Mato Grosso,2013
3978,Goianorte,0.66,1708304,Tocantins,2013
3979,Governador Jorge Teixeira,3.83,1101005,Rondônia,2013
3980,Tabaporã,30.21,5107941,Mato Grosso,2013
3981,Epitaciolândia,6.4,1200252,Acre,2013
3982,Vera,1.52,5108501,Mato Grosso,2013
3983,Novo Mundo,14.06,5106265,Mato Grosso,2013
3984,Bernardo Sayão,0.0,1703206,Tocantins,2013
3985,Rolim de Moura,0.6,1100288,Rondônia,2013
3986,Seringueiras,10.07,1101500,Rondônia,2013
3987,Autazes,9.27,1300300,Amazonas,2013
3988,Ferreira Gomes,0.3,1600238,Amapá,2013
3989,Palmas,0.0,1721000,Tocantins,2013
3990,São Francisco do Brejão,0.0,2110856,Maranhão,2013
3991,Sambaíba,0.0,2109700,Maranhão,2013
3992,Novo Alegre,0.0,1715150,Tocantins,2013
3993,Santa Luzia D'Oeste,0.41,1100296,Rondônia,2013
3994,Tartarugalzinho,4.04,1600709,Amapá,2013
3995,Arenápolis,0.35,5101308,Mato Grosso,2013
3996,Gurupi,0.0,1709500,Tocantins,2013
3997,Lagoa da Confusão,11.63,1711902,Tocantins,2013
3998,Boa Vista,0.19,1400100,Roraima,2013
3999,Gurupá,0.65,1503101,Pará,2013
4000,São Pedro da Água Branca,0.21,2111532,Maranhão,2013
4001,Jaú do Tocantins,0.0,1711506,Tocantins,2013
4002,Araguaçu,0.0,1702000,Tocantins,2013
4003,Sandolândia,0.0,1718840,Tocantins,2013
4004,Altamira,296.54,1500602,Pará,2013
4005,Aliança do Tocantins,0.0,1700350,Tocantins,2013
4006,São Sebastião do Uatumã,4.03,1303957,Amazonas,2013
4007,Porto dos Gaúchos,13.31,5106802,Mato Grosso,2013
4008,Sapezal,1.4,5107875,Mato Grosso,2013
4009,Bragança,0.0,1501709,Pará,2013
4010,Nova Santa Helena,5.21,5106190,Mato Grosso,2013
4011,Alto Paraíso,27.36,1100403,Rondônia,2013
4012,Araguanã,0.0,1702158,Tocantins,2013
4013,São José do Rio Claro,17.48,5107305,Mato Grosso,2013
4014,Pimenteiras do Oeste,1.2,1101468,Rondônia,2013
4015,Mocajuba,0.16,1504604,Pará,2013
4016,Iranduba,2.26,1301852,Amazonas,2013
4017,Urucará,2.27,1304302,Amazonas,2013
4018,Santa Isabel do Rio Negro,0.14,1303601,Amazonas,2013
4019,Senador Guiomard,4.14,1200450,Acre,2013
4020,Figueirópolis,0.0,1707652,Tocantins,2013
4021,Coari,4.05,1301209,Amazonas,2013
4022,Carauari,0.92,1301001,Amazonas,2013
4023,Nova Mutum,6.61,5106224,Mato Grosso,2013
4024,Nova Nazaré,0.19,5106174,Mato Grosso,2013
4025,Brasil Novo,31.83,1501725,Pará,2013
4026,Apuí,86.11,1300144,Amazonas,2013
4027,Santa Terezinha,13.98,5107776,Mato Grosso,2013
4028,Campinápolis,0.0,5102603,Mato Grosso,2013
4029,Nova Mamoré,131.55,1100338,Rondônia,2013
4030,Castanheiras,0.34,1100908,Rondônia,2013
4031,União do Sul,12.96,5108303,Mato Grosso,2013
4032,Alvorada,0.0,1700707,Tocantins,2013
4033,Caroebe,9.04,1400233,Roraima,2013
4034,Coroatá,0.0,2103604,Maranhão,2013
4035,Pastos Bons,0.0,2108009,Maranhão,2013
4036,Lago do Junco,0.0,2105807,Maranhão,2013
4037,Matões do Norte,0.97,2106631,Maranhão,2013
4038,Cantanhede,0.13,2102705,Maranhão,2013
4039,Arame,6.51,2100956,Maranhão,2013
4040,Conceição do Tocantins,0.0,1705607,Tocantins,2013
4041,Tufilândia,0.0,2112274,Maranhão,2013
4042,Governador Newton Bello,0.21,2104651,Maranhão,2013
4043,Maranhãozinho,0.0,2106375,Maranhão,2013
4044,Igarapé Grande,0.0,2105203,Maranhão,2013
4045,Monção,2.41,2106904,Maranhão,2013
4046,Peritoró,0.0,2108454,Maranhão,2013
4047,Sucupira do Norte,0.0,2111904,Maranhão,2013
4048,Formosa da Serra Negra,0.17,2104099,Maranhão,2013
4049,Nova Iorque,0.0,2107308,Maranhão,2013
4050,Santa Filomena do Maranhão,1.0,2109759,Maranhão,2013
4051,Carutapera,0.0,2102903,Maranhão,2013
4052,Rio Branco,19.63,1200401,Acre,2013
4053,Satubinha,0.0,2111722,Maranhão,2013
4054,Cujubim,55.13,1100940,Rondônia,2013
4055,Fernando Falcão,0.76,2104081,Maranhão,2013
4056,Pirapemas,0.0,2108801,Maranhão,2013
4057,Centro do Guilherme,0.35,2103158,Maranhão,2013
4058,Oiapoque,4.95,1600501,Amapá,2013
4059,Darcinópolis,0.11,1706506,Tocantins,2013
4060,Alcântara,0.0,2100204,Maranhão,2013
4061,Arari,0.63,2101004,Maranhão,2013
4062,Cumaru do Norte,37.8,1502764,Pará,2013
4063,Miranda do Norte,1.27,2106755,Maranhão,2013
4064,Penalva,1.44,2108306,Maranhão,2013
4065,Brejo Grande do Araguaia,2.55,1501758,Pará,2013
4066,Medicilândia,38.01,1504455,Pará,2013
4067,Nova Timboteua,0.41,1505007,Pará,2013
4068,Central do Maranhão,0.0,2103125,Maranhão,2013
4069,Alto Alegre do Maranhão,0.0,2100436,Maranhão,2013
4070,Maurilândia do Tocantins,0.08,1712801,Tocantins,2013
4071,Paragominas,30.59,1505502,Pará,2013
4072,Morros,0.66,2107100,Maranhão,2013
4073,Itinga do Maranhão,20.26,2105427,Maranhão,2013
4074,Santa Helena,2.05,2109809,Maranhão,2013
4075,São João da Ponta,0.67,1507466,Pará,2013
4076,Cedral,0.0,2103109,Maranhão,2013
4077,São João Batista,0.0,2111003,Maranhão,2013
4078,São Raimundo do Doca Bezerra,0.0,2111631,Maranhão,2013
4079,Turilândia,0.4,2112456,Maranhão,2013
4080,São João de Pirabas,1.26,1507474,Pará,2013
4081,Lago dos Rodrigues,0.0,2105948,Maranhão,2013
4082,Lagoa do Tocantins,0.0,1711951,Tocantins,2013
4083,Dianópolis,0.0,1707009,Tocantins,2013
4084,Novo Acordo,0.0,1715101,Tocantins,2013
4085,Maracanã,1.33,1504307,Pará,2013
4086,Axixá do Tocantins,0.0,1702901,Tocantins,2013
4087,Cachoeira Grande,1.03,2102374,Maranhão,2013
4088,Anajatuba,0.1,2100709,Maranhão,2013
4089,Aurora do Tocantins,0.0,1702703,Tocantins,2013
4090,Itiquira,0.0,5104609,Mato Grosso,2013
4091,Mateiros,0.0,1712702,Tocantins,2013
4092,Natividade,0.0,1714203,Tocantins,2013
4093,Joselândia,1.02,2105609,Maranhão,2013
4094,Bom Jesus do Tocantins,0.0,1703305,Tocantins,2013
4095,Estreito,0.15,2104057,Maranhão,2013
4096,Lizarda,0.0,1712405,Tocantins,2013
4097,Ariquemes,12.36,1100023,Rondônia,2013
4098,Olho d'Água das Cunhãs,0.0,2107407,Maranhão,2013
4099,Cajari,2.22,2102507,Maranhão,2013
4100,Bom Jesus do Tocantins,6.02,1501576,Pará,2013
4101,Chaves,0.07,1502509,Pará,2013
4102,Governador Eugênio Barros,7.54,2104602,Maranhão,2013
4103,Barcarena,0.82,1501303,Pará,2013
4104,São João da Baliza,6.66,1400506,Roraima,2013
4105,Miracema do Tocantins,0.0,1713205,Tocantins,2013
4106,Rio dos Bois,0.0,1718709,Tocantins,2013
4107,Itaubal,0.0,1600253,Amapá,2013
4108,Tefé,2.0,1304203,Amazonas,2013
4109,Cláudia,19.45,5103056,Mato Grosso,2013
4110,Nortelândia,0.15,5106000,Mato Grosso,2013
4111,Anori,0.76,1300102,Amazonas,2013
4112,Água Boa,0.0,5100201,Mato Grosso,2013
4113,Miranorte,0.0,1713304,Tocantins,2013
4114,Rorainópolis,22.81,1400472,Roraima,2013
4115,Cocalinho,2.11,5103106,Mato Grosso,2013
4116,Costa Marques,30.67,1100080,Rondônia,2013
4117,Macapá,1.37,1600303,Amapá,2013
4118,Mirante da Serra,1.3,1101302,Rondônia,2013
4119,Monte Alegre,9.67,1504802,Pará,2013
4120,Santa Rosa do Purus,1.24,1200435,Acre,2013
4121,Palmeirópolis,0.0,1715754,Tocantins,2013
