,nome_municipio,area_desmatada,codigo_municipio,uf,ano
198,Miranda do Norte,14.81,2106755,Maranhão,2008
199,Penalva,3.14,2108306,Maranhão,2008
200,Brejo Grande do Araguaia,8.73,1501758,Pará,2008
201,Medicilândia,28.17,1504455,Pará,2008
202,Nova Timboteua,2.33,1505007,Pará,2008
203,Central do Maranhão,0.0,2103125,Maranhão,2008
204,Alto Alegre do Maranhão,4.08,2100436,Maranhão,2008
205,Maurilândia do Tocantins,0.73,1712801,Tocantins,2008
206,Paragominas,63.23,1505502,Pará,2008
207,Morros,1.67,2107100,Maranhão,2008
208,Itinga do Maranhão,74.83,2105427,Maranhão,2008
209,Santa Helena,8.9,2109809,Maranhão,2008
210,São João da Ponta,3.76,1507466,Pará,2008
211,Cedral,0.0,2103109,Maranhão,2008
212,São João Batista,0.0,2111003,Maranhão,2008
213,São Raimundo do Doca Bezerra,0.42,2111631,Maranhão,2008
214,Turilândia,13.42,2112456,Maranhão,2008
215,São João de Pirabas,4.55,1507474,Pará,2008
216,Lago dos Rodrigues,0.0,2105948,Maranhão,2008
217,Lagoa do Tocantins,0.0,1711951,Tocantins,2008
218,Dianópolis,0.0,1707009,Tocantins,2008
219,Novo Acordo,0.0,1715101,Tocantins,2008
220,Maracanã,1.29,1504307,Pará,2008
221,Axixá do Tocantins,0.24,1702901,Tocantins,2008
222,Cachoeira Grande,3.82,2102374,Maranhão,2008
223,Anajatuba,2.0,2100709,Maranhão,2008
224,Aurora do Tocantins,0.0,1702703,Tocantins,2008
225,Itiquira,0.0,5104609,Mato Grosso,2008
226,Mateiros,0.0,1712702,Tocantins,2008
227,Natividade,0.0,1714203,Tocantins,2008
228,Joselândia,4.51,2105609,Maranhão,2008
229,Bom Jesus do Tocantins,0.0,1703305,Tocantins,2008
230,Estreito,0.26,2104057,Maranhão,2008
231,Lizarda,0.0,1712405,Tocantins,2008
232,Ariquemes,8.32,1100023,Rondônia,2008
233,Olho d'Água das Cunhãs,0.0,2107407,Maranhão,2008
234,Cajari,4.77,2102507,Maranhão,2008
235,Bom Jesus do Tocantins,10.47,1501576,Pará,2008
236,Chaves,0.18,1502509,Pará,2008
237,Governador Eugênio Barros,23.3,2104602,Maranhão,2008
238,Barcarena,1.05,1501303,Pará,2008
239,São João da Baliza,15.13,1400506,Roraima,2008
240,Miracema do Tocantins,0.0,1713205,Tocantins,2008
241,Rio dos Bois,0.0,1718709,Tocantins,2008
242,Itaubal,0.2,1600253,Amapá,2008
243,Tefé,9.74,1304203,Amazonas,2008
244,Cláudia,26.44,5103056,Mato Grosso,2008
245,Nortelândia,0.61,5106000,Mato Grosso,2008
246,Anori,0.97,1300102,Amazonas,2008
247,Água Boa,0.84,5100201,Mato Grosso,2008
248,Miranorte,0.57,1713304,Tocantins,2008
249,Rorainópolis,26.0,1400472,Roraima,2008
250,Cocalinho,1.27,5103106,Mato Grosso,2008
251,Costa Marques,101.04,1100080,Rondônia,2008
252,Macapá,6.43,1600303,Amapá,2008
253,Mirante da Serra,5.21,1101302,Rondônia,2008
254,Monte Alegre,30.18,1504802,Pará,2008
255,Santa Rosa do Purus,2.17,1200435,Acre,2008
256,Palmeirópolis,0.0,1715754,Tocantins,2008
257,Canaã dos Carajás,8.86,1502152,Pará,2008
258,Guimarães,1.19,2104909,Maranhão,2008
259,Belterra,4.91,1501451,Pará,2008
260,Itapiratins,0.0,1710904,Tocantins,2008
261,Araguanã,7.24,2100873,Maranhão,2008
262,Viseu,14.95,1508308,Pará,2008
263,Uruará,90.44,1508159,Pará,2008
264,Junco do Maranhão,0.0,2105658,Maranhão,2008
265,Novo Aripuanã,62.74,1303304,Amazonas,2008
266,Cotriguaçu,77.06,5103379,Mato Grosso,2008
267,Jatobá,20.04,2105450,Maranhão,2008
268,Rio Sono,0.0,1718758,Tocantins,2008
269,Tracuateua,1.95,1508035,Pará,2008
270,Breu Branco,67.47,1501782,Pará,2008
271,Santa Tereza do Tocantins,0.0,1719004,Tocantins,2008
272,Maracaçumé,0.0,2106326,Maranhão,2008
273,Parintins,4.73,1303403,Amazonas,2008
274,Porto Grande,14.43,1600535,Amapá,2008
275,Aragominas,10.75,1701309,Tocantins,2008
276,Pugmil,0.0,1718451,Tocantins,2008
277,Araguacema,1.23,1701903,Tocantins,2008
278,Novo Airão,0.95,1303205,Amazonas,2008
279,Breves,3.95,1501808,Pará,2008
280,Acará,47.76,1500206,Pará,2008
281,Augustinópolis,0.25,1702554,Tocantins,2008
282,Canutama,37.92,1300904,Amazonas,2008
283,Serra Nova Dourada,9.29,5107883,Mato Grosso,2008
