latitude,longitude,distancia_km,municipio,uf
-9.71891,-43.9072,295,Morro Cabeça no Tempo,PI
-9.10273,-45.9303,294,Alto Parnaíba,MA
-15.7291,-51.8341,294,Araguaiana,MT
-10.0137,-51.1186,294,Vila Rica,MT
-7.85294,-41.9075,294,Simplício Mendes,PI
-7.07535,-44.8092,293,São Félix de Balsas,MA
-7.98809,-41.8675,293,Bela Vista do Piauí,PI
-7.43789,-70.0281,293,Envira,AM
-17.8784,-51.7204,293,Jataí,GO
-7.21037,-44.5577,292,Benedito Leite,MA
-10.517,-55.231,292,Terra Nova do Norte,MT
-9.45024,-40.8145,291,Sobradinho,BA
-11.7605,-41.9054,290,Barro Alto,BA
-7.69028,-42.7128,289,Ribeira do Piauí,PI
-14.0957,-50.33,289,Nova Crixás,GO
-10.823,-42.7245,288,Xique-Xique,BA
-7.6593,-41.8775,287,Campinas do Piauí,PI
-14.5162,-52.893,286,Campinápolis,MT
-11.029,-62.6696,286,Mirante da Serra,RO
-11.4429,-41.439,284,América Dourada,BA
-15.4439,-58.7391,284,Figueirópolis D'Oeste,MT
-17.3364,-39.2227,283,Prado,BA
-8.23599,-41.6873,283,São Francisco de Assis do Piauí,PI
-7.59713,-42.3676,283,São Miguel do Fidalgo,PI
-10.7167,-62.2565,282,Ouro Preto do Oeste,RO
-11.4342,-42.5077,282,Gentio do Ouro,BA
-10.9068,-62.5564,280,Nova União,RO
-7.59989,-43.0249,280,Itaueira,PI
-11.6914,-41.4688,280,Cafarnaum,BA
-18.788,-52.6263,279,Chapadão do Sul,MS
-11.81,-42.059,279,Barra do Mendes,BA
-8.47673,-41.5342,279,Lagoa do Barro do Piauí,PI
-10.558,-55.953,278,Nova Canaã do Norte,MT
-9.16408,-40.974,277,Casa Nova,BA
-7.42072,-41.9063,277,Santo Inácio do Piauí,PI
-7.02183,-45.4809,277,São Raimundo das Mangabeiras,MA
-7.21276,-44.1889,277,Antônio Almeida,PI
-14.9166,-51.075,276,Aruanã,GO
2.50475,-50.9512,275,Calçoene,AP
-7.46682,-41.7883,275,Floresta do Piauí,PI
-11.0463,-54.4377,275,Marcelândia,MT
-10.7889,-65.3296,275,Guajará-Mirim,RO
-16.4258,-51.8235,274,Piranhas,GO
-16.9539,-51.8091,272,Caiapônia,GO
-10.9578,-41.0756,272,Ourolândia,BA
-8.57064,-41.4106,272,Queimada Nova,PI
-7.25922,-43.9364,272,Landri Sales,PI
-17.5195,-39.2036,271,Alcobaça,BA
-2.97409,-57.5873,271,Boa Vista do Ramos,AM
-9.41622,-40.5033,270,Juazeiro,BA
-12.1706,-51.5032,269,Bom Jesus do Araguaia,MT
-10.4465,-62.1352,269,Vale do Paraíso,RO
-4.31242,-51.5764,269,Senador José Porfírio,PA
-11.9648,-41.6374,269,Mulungu do Morro,BA
-9.75364,-45.3037,268,Monte Alegre do Piauí,PI
-7.71311,-66.992,268,Pauini,AM
-7.48554,-42.5672,267,São José do Peixe,PI
-9.38866,-40.5027,267,Petrolina,PE
-18.2941,-51.1516,267,Aparecida do Rio Doce,GO
-15.4921,-58.5802,266,Indiavaí,MT
-11.2639,-57.5244,266,Juara,MT
-7.73597,-41.6735,266,Isaías Coelho,PI
-17.2183,-40.0974,265,Vereda,BA
-16.2063,-52.1728,265,Bom Jardim de Goiás,GO
-15.8955,-52.2372,264,Aragarças,GO
-18.5432,-53.1287,264,Costa Rica,MS
-8.17054,-70.351,263,Feijó,AC
-13.7729,-50.2814,263,Mundo Novo,GO
-15.8804,-52.264,262,Barra do Garças,MT
-11.8219,-42.6179,261,Ipupiara,BA
-10.2569,-40.1999,261,Jaguarari,BA
-7.87638,-41.5942,261,Conceição do Canindé,PI
-18.9607,-51.9232,261,Aporé,GO
-2.52936,-57.7538,260,Urucará,AM
-9.83001,-45.3423,260,Gilbués,PI
-15.0743,-58.4585,260,Reserva do Cabaçal,MT
-6.81471,-44.6509,259,São Domingos do Azeitão,MA
-7.1785,-41.7609,259,Santa Cruz do Piauí,PI
-3.39289,-57.7067,259,Maués,AM
-15.2428,-51.1602,259,Britânia,GO
-12.088,-41.6427,258,Souto Soares,BA
-7.23151,-41.905,258,Wall Ferraz,PI
-12.0896,-51.4025,257,Serra Nova Dourada,MT
-13.9421,-46.4868,256,Guarani de Goiás,GO
-10.8651,-55.1872,256,Nova Santa Helena,MT
-7.11565,-43.8926,255,Marcos Parente,PI
-7.10303,-41.7,255,Paquetá,PI
-15.857,-58.4619,255,Porto Esperidião,MT
-17.1642,-40.3321,255,Itanhém,BA
-6.52582,-64.3953,254,Canutama,AM
-10.8135,-55.461,254,Colíder,MT
-15.9274,-52.3273,254,Pontal do Araguaia,MT
-13.7388,-46.8734,254,Nova Roma,GO
-17.5654,-52.5537,253,Mineiros,GO
-11.6732,-51.3883,253,Alto Boa Vista,MT
-14.0859,-46.3704,252,Posse,GO
-17.0378,-39.5386,252,Itamaraju,BA
-9.9296,-45.4702,252,Barreiras do Piauí,PI
-17.7398,-46.1715,251,João Pinheiro,MG
-11.5488,-41.1565,251,Morro do Chapéu,BA
-10.1345,-43.9563,251,Avelino Lopes,PI
-6.96423,-44.1837,250,Porto Alegre do Piauí,PI
-13.621,-46.7415,250,São Domingos,GO
-14.2835,-49.9201,250,Uirapuru,GO
-18.3315,-45.8265,249,São Gonçalo do Abaeté,MG
-11.9915,-42.6326,249,Brotas de Macaúbas,BA
-17.7268,-39.2597,249,Caravelas,BA
-16.7188,-52.3189,249,Doverlândia,GO
-30.384,-56.4483,248,Quaraí,RS
-12.1474,-57.9833,247,Brasnorte,MT
-7.22651,-42.1756,247,Colônia do Piauí,PI
-14.7457,-50.5713,247,Mozarlândia,GO
-10.0326,-44.3002,247,Curimatá,PI
-16.3837,-51.5563,247,Arenópolis,GO
-2.55915,-57.8731,247,São Sebastião do Uatumã,AM
-4.334,-45.581,246,Brejo de Areia,MA
-17.059,-40.58,246,Bertópolis,MG
-17.3707,-40.2238,246,Medeiros Neto,BA
-3.5503,-46.2507,246,São João do Carú,MA
-7.24502,-41.5325,245,Aroeiras do Itaim,PI
-6.94696,-41.5178,245,Santana do Piauí,PI
-13.9236,-49.2962,245,Amaralina,GO
-11.9668,-41.2647,245,Bonito,BA
-14.9054,-53.0194,245,Novo São Joaquim,MT
-10.5105,-40.32,245,Campo Formoso,BA
-18.3741,-46.0313,244,Varjão de Minas,MG
-6.95332,-41.6396,244,Dom Expedito Lopes,PI
-12.2429,-41.6155,244,Iraquara,BA
-14.2442,-49.6528,244,Campos Verdes,GO
-11.2557,-40.9432,243,Várzea Nova,BA
-10.4318,-62.4788,242,Jaru,RO
-14.4823,-46.1165,242,Mambaí,GO
-17.5399,-39.74,242,Teixeira de Freitas,BA
-7.53214,-46.0372,242,Balsas,MA
-10.61,-62.7371,242,Governador Jorge Teixeira,RO
-6.87194,-41.4731,242,São José do Piauí,PI
-1.52904,-52.5788,242,Almeirim,PA
0.884203,-59.6959,242,Caroebe,RR
-16.7392,-51.5309,241,Palestina de Goiás,GO
-11.4089,-57.3488,241,Novo Horizonte do Norte,MT
